repo_name,full_name,description,stars,forks,open_issues,language,created_at,updated_at,topics,license,size_kb,watchers
tensorflow,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,194395,75252,4064,C++,2015-11-07,2026-03-30,deep-learning|deep-neural-networks|distributed|machine-learning|ml|neural-network|python|tensorflow,Apache-2.0,1298204,194395
transformers,huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",158562,32685,2321,Python,2018-10-29,2026-03-30,audio|deep-learning|deepseek|gemma|glm|hacktoberfest|llm|machine-learning|model-hub|natural-language-processing,Apache-2.0,461057,158562
prompts.chat,f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",154904,20332,42,HTML,2022-12-05,2026-03-30,ai|artificial-intelligence|awesome-list|chatgpt|chatgpt-prompts|claude|gemini|gpt|gpt-4|llm,CC0-1.0,260550,154904
pytorch,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,98654,27348,18145,Python,2016-08-13,2026-03-30,autograd|deep-learning|gpu|machine-learning|neural-network|numpy|python|tensor,NOASSERTION,1287925,98654
LLMs-from-scratch,rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",89554,13675,4,Jupyter Notebook,2023-07-23,2026-03-30,ai|artificial-intelligence|chatbot|chatgpt|deep-learning|from-scratch|generative-ai|gpt|language-model|large-language-models,NOASSERTION,15759,89554
ML-For-Beginners,microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",84855,20427,8,Jupyter Notebook,2021-03-03,2026-03-30,data-science|education|machine-learning|machine-learning-algorithms|machinelearning|machinelearning-python|microsoft-for-beginners|ml|python|r,MIT,2222308,84855
netdata,netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",78267,6393,269,C,2013-06-17,2026-03-30,ai|alerting|cncf|data-visualization|database|devops|docker|grafana|influxdb|kubernetes,GPL-3.0,262762,78267
cs-video-courses,Developer-Y/cs-video-courses,List of Computer Science courses with video lectures.,77885,10577,3,Unknown,2016-10-21,2026-03-30,algorithms|bioinformatics|computational-biology|computational-physics|computer-architecture|computer-science|computer-vision|database-systems|databases|deep-learning,None,1097,77885
llm-course,mlabonne/llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,77581,8972,78,Unknown,2023-06-17,2026-03-30,course|large-language-models|llm|machine-learning|roadmap,Apache-2.0,7637,77581
d2l-zh,d2l-ai/d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,76621,12186,122,Python,2017-08-23,2026-03-30,book|chinese|computer-vision|deep-learning|machine-learning|natural-language-processing|notebook|python,Apache-2.0,316965,76621
tesseract,tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),73222,10569,475,C++,2014-08-12,2026-03-30,hacktoberfest|lstm|machine-learning|ocr|ocr-engine|tesseract|tesseract-ocr,Apache-2.0,53817,73222
awesome-scalability,binhnguyennus/awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",70019,6924,20,Unknown,2017-12-27,2026-03-30,architecture|awesome|awesome-list|backend|big-data|computer-science|design-patterns|devops|distributed-systems|interview,MIT,1607,70019
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(",66191,6659,29,Python,2020-08-25,2026-03-30,attention|deep-learning|deep-learning-tutorial|gan|literate-programming|lora|machine-learning|neural-networks|optimizers|pytorch,MIT,156370,66191
scikit-learn,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,65557,26863,2130,Python,2010-08-17,2026-03-30,data-analysis|data-science|machine-learning|python|statistics,BSD-3-Clause,180760,65557
OpenBB,OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",64459,6347,79,Python,2020-12-20,2026-03-30,ai|crypto|derivatives|economics|equity|finance|fixed-income|machine-learning|openbb|options,NOASSERTION,2409096,64459
keras,keras-team/keras,Deep Learning for humans,63920,19746,313,Python,2015-03-28,2026-03-30,data-science|deep-learning|jax|machine-learning|neural-networks|python|pytorch|tensorflow,Apache-2.0,51261,63920
llm-app,pathwaycom/llm-app,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, an",59716,1410,9,Jupyter Notebook,2023-07-19,2026-03-30,chatbot|hugging-face|llm|llm-local|llm-prompting|llm-security|llmops|machine-learning|open-ai|pathway,MIT,62509,59716
yolov5,ultralytics/yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,57112,17451,44,Python,2020-05-18,2026-03-30,coreml|deep-learning|ios|machine-learning|ml|object-detection|onnx|pytorch|tflite|ultralytics,AGPL-3.0,17368,57112
face_recognition,ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,56245,13703,831,Python,2017-03-03,2026-03-30,face-detection|face-recognition|machine-learning|python,MIT,103959,56245
ultralytics,ultralytics/ultralytics,Ultralytics YOLO 🚀,55209,10620,309,Python,2022-09-11,2026-03-30,cli|computer-vision|deep-learning|hub|image-classification|instance-segmentation|machine-learning|object-detection|pose-estimation|python,AGPL-3.0,52013,55209
faceswap,deepfakes/faceswap,Deepfakes Software For All,55095,13408,4,Python,2017-12-19,2026-03-30,deep-face-swap|deep-learning|deep-neural-networks|deepface|deepfakes|deeplearning|face-swap|faceswap|fakeapp|machine-learning,GPL-3.0,205515,55095
100-Days-Of-ML-Code,Avik-Jain/100-Days-Of-ML-Code,100 Days of ML Coding,50155,11392,66,Unknown,2018-07-05,2026-03-30,100-days-of-code-log|100daysofcode|deep-learning|implementation|infographics|linear-algebra|linear-regression|logistic-regression|machine-learning|machine-learning-algorithms,MIT,10955,50155
julia,JuliaLang/julia,The Julia Programming Language,48533,5755,4742,Julia,2011-04-21,2026-03-30,hacktoberfest|hpc|julia|julia-language|julialang|machine-learning|numerical|programming-language|science|scientific,MIT,361731,48533
Made-With-ML,GokuMohandas/Made-With-ML,"Learn how to develop, deploy and iterate on production-grade ML applications.",47035,7387,24,Jupyter Notebook,2018-11-05,2026-03-30,data-engineering|data-quality|data-science|deep-learning|distributed-ml|distributed-training|llms|machine-learning|mlops|natural-language-processing,MIT,3447,47035
AI-For-Beginners,microsoft/AI-For-Beginners,"12 Weeks, 24 Lessons, AI for All!",46332,9479,4,Jupyter Notebook,2021-03-03,2026-03-30,ai|artificial-intelligence|cnn|computer-vision|deep-learning|gan|machine-learning|microsoft-for-beginners|nlp|rnn,MIT,1395841,46332
airflow,apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",44831,16788,1802,Python,2015-04-13,2026-03-30,airflow|apache|apache-airflow|automation|dag|data-engineering|data-integration|data-orchestrator|data-pipelines|data-science,Apache-2.0,560263,44831
streamlit,streamlit/streamlit,Streamlit — A faster way to build and share data apps.,44065,4175,1317,Python,2019-08-24,2026-03-30,data-analysis|data-science|data-visualization|deep-learning|developer-tools|machine-learning|python|streamlit,Apache-2.0,919600,44065
TensorFlow-Examples,aymericdamien/TensorFlow-Examples,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),43794,14776,227,Jupyter Notebook,2015-11-11,2026-03-30,deep-learning|examples|machine-learning|python|tensorflow|tutorial,NOASSERTION,10242,43794
gradio,gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",42210,3361,500,Python,2018-12-19,2026-03-30,data-analysis|data-science|data-visualization|deep-learning|deploy|gradio|gradio-interface|interface|machine-learning|models,Apache-2.0,317919,42210
DeepSpeed,deepspeedai/DeepSpeed,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",41945,4768,1279,Python,2020-01-23,2026-03-30,billion-parameters|compression|data-parallelism|deep-learning|gpu|inference|machine-learning|mixture-of-experts|model-parallelism|pipeline-parallelism,Apache-2.0,245102,41945
ray,ray-project/ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,41880,7396,3565,Python,2016-10-25,2026-03-30,data-science|deep-learning|deployment|distributed|hyperparameter-optimization|hyperparameter-search|large-language-models|llm|llm-inference|llm-serving,Apache-2.0,706365,41880
qlib,microsoft/qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, incl",39535,6183,386,Python,2020-08-14,2026-03-30,algorithmic-trading|auto-quant|deep-learning|finance|fintech|investment|machine-learning|paper|platform|python,MIT,17977,39535
photoprism,photoprism/photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,39471,2234,440,Go,2018-01-27,2026-03-30,ai|golang|google-photos|machine-learning|photography|private-cloud|self-hosted|tensorflow,NOASSERTION,334174,39471
paperless-ngx,paperless-ngx/paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",37741,2397,12,Python,2022-02-12,2026-03-30,angular|archiving|django|dms|document-management|document-management-system|hacktoberfest|machine-learning|ocr|optical-character-recognition,GPL-3.0,182573,37741
