model_id,author,pipeline_tag,downloads,likes,created_at,library_name,tags
sentence-transformers/all-MiniLM-L6-v2,sentence-transformers,sentence-similarity,206238498,4627,2022-03-02,sentence-transformers,sentence-transformers|pytorch|tf|rust|onnx|safetensors|openvino|bert
google-bert/bert-base-uncased,google-bert,fill-mask,71817797,2597,2022-03-02,transformers,transformers|pytorch|tf|jax|rust|coreml|onnx|safetensors
google/electra-base-discriminator,google,unknown,50825694,86,2022-03-02,transformers,transformers|pytorch|tf|jax|rust|electra|pretraining|en
Falconsai/nsfw_image_detection,Falconsai,image-classification,41029190,1021,2023-10-13,transformers,transformers|pytorch|safetensors|vit|image-classification|arxiv:2010.11929|license:apache-2.0|endpoints_compatible
sentence-transformers/all-mpnet-base-v2,sentence-transformers,sentence-similarity,29358404,1264,2022-03-02,sentence-transformers,sentence-transformers|pytorch|onnx|safetensors|openvino|mpnet|fill-mask|feature-extraction
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,sentence-similarity,26803154,1173,2022-03-02,sentence-transformers,sentence-transformers|pytorch|tf|onnx|safetensors|openvino|bert|feature-extraction
laion/clap-htsat-fused,laion,audio-classification,26156112,65,2023-02-16,transformers,transformers|pytorch|safetensors|clap|feature-extraction|zero-shot audio classification|zero-shot audio retrieval|audio-classification
openai/clip-vit-large-patch14,openai,zero-shot-image-classification,24518351,1980,2022-03-02,transformers,transformers|pytorch|tf|jax|safetensors|clip|zero-shot-image-classification|vision
FacebookAI/xlm-roberta-base,FacebookAI,fill-mask,20815842,801,2022-03-02,transformers,transformers|pytorch|tf|jax|onnx|safetensors|xlm-roberta|fill-mask
openai/clip-vit-base-patch32,openai,zero-shot-image-classification,20594681,892,2022-03-02,transformers,transformers|pytorch|tf|jax|clip|zero-shot-image-classification|vision|arxiv:2103.00020
FacebookAI/roberta-large,FacebookAI,fill-mask,20576480,269,2022-03-02,transformers,transformers|pytorch|tf|jax|onnx|safetensors|roberta|fill-mask
timm/mobilenetv3_small_100.lamb_in1k,timm,image-classification,18256029,54,2022-12-16,timm,timm|pytorch|safetensors|image-classification|transformers|dataset:imagenet-1k|arxiv:2110.00476|arxiv:1905.02244
Bingsu/adetailer,Bingsu,unknown,17712375,676,2023-04-26,ultralytics,ultralytics|pytorch|dataset:wider_face|dataset:skytnt/anime-segmentation|doi:10.57967/hf/3633|license:apache-2.0|region:us
Qwen/Qwen2.5-7B-Instruct,Qwen,text-generation,17413142,1169,2024-09-16,transformers,transformers|safetensors|qwen2|text-generation|chat|conversational|en|arxiv:2309.00071
cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder,text-ranking,15209384,202,2022-03-02,sentence-transformers,sentence-transformers|pytorch|jax|onnx|safetensors|openvino|bert|text-classification
